date,country,cost,cost_type
2023-09-12,Norway,0.0513569,whisper_price
2023-09-12,Oman,0.014963233333333333,whisper_price
2023-09-12,Pakistan,0.189871,whisper_price
2023-09-12,Panama,1.931718928004535,whisper_price
2023-09-12,Paraguay,8.637246715938776,whisper_price
2023-09-12,Peru,8.410442085785148,whisper_price
2023-09-12,Philippines,0.3014815427437642,whisper_price
2023-09-12,Poland,0.032694483333333337,whisper_price
2023-09-12,Portugal,0.13580883333333332,whisper_price
2023-09-12,Puerto Rico,0.08737588333333333,whisper_price
2023-09-12,Qatar,0.02187485,whisper_price
2023-09-12,Romania,0.02230616666666667,whisper_price
2023-09-12,Russian Federation,0.18881672721088436,whisper_price
2023-09-12,Samoa,0.018503133333333338,whisper_price
2023-09-12,San Marino,0.006480049999999999,whisper_price
2023-09-12,Sao Tome and Principe,0.008772100000000001,whisper_price
2023-09-12,Saudi Arabia,0.07239828514739229,whisper_price
2023-09-12,Senegal,0.004383133333333333,whisper_price
2023-09-12,Singapore,0.09960094625850341,whisper_price
2023-09-12,Sint Maarten (Dutch part),0.014008483333333334,whisper_price
2023-09-12,Slovenia,0.013965350000000001,whisper_price
2023-09-12,South Africa,0.34624526666666666,whisper_price
2023-09-12,South Sudan,0.011807566666666668,whisper_price
2023-09-12,Spain,26.779573913407027,whisper_price
2023-09-12,Sri Lanka,0.026937566666666666,whisper_price
2023-09-12,Sweden,0.06390257981859411,whisper_price
2023-09-12,Switzerland,0.09121646666666668,whisper_price
2023-09-12,Tanzania,0.03208183333333333,whisper_price
2023-09-12,Thailand,0.21822366201814059,whisper_price
2023-09-12,Togo,0.060607852267573696,whisper_price
2023-09-12,Tonga,0.0226467,whisper_price
2023-09-12,Trinidad and Tobago,0.029272533333333333,whisper_price
2023-09-12,Tunisia,0.0533135,whisper_price
2023-09-12,Turkey,0.027073016666666665,whisper_price
2023-09-12,Uganda,0.00149335,whisper_price
2023-09-12,Ukraine,0.00109335,whisper_price
2023-09-12,United Arab Emirates,0.03600863333333333,whisper_price
2023-09-12,United Kingdom,0.64518885,whisper_price
2023-09-12,United States,4.44723977093254,whisper_price
2023-09-12,Uruguay,20.83350257729592,whisper_price
2023-09-12,Vanuatu,0.010215783333333332,whisper_price
2023-09-12,Venezuela,11.809330433758504,whisper_price
2023-09-12,Viet Nam,0.11523961666666667,whisper_price
2023-09-12,Wallis and Futuna,0.011094050000000001,whisper_price
2023-09-12,Yemen,0.003795566666666667,whisper_price
2023-09-12,Zimbabwe,0.012814916666666667,whisper_price
2023-09-13,Afghanistan,0.019145233333333334,whisper_price
2023-09-13,Albania,0.0020884000000000002,whisper_price
2023-09-13,Algeria,0.006714916666666668,whisper_price
2023-09-13,Andorra,0.024732749999999998,whisper_price
2023-09-13,Angola,0.07660450362811792,whisper_price
2023-09-13,Anguilla,0.022167333333333334,whisper_price
2023-09-13,Antigua and Barbuda,0.0020257833333333333,whisper_price
2023-09-13,Argentina,165.60034110094938,whisper_price
2023-09-13,Australia,0.23177919206349204,whisper_price
2023-09-13,Austria,0.05139696666666666,whisper_price
2023-09-13,Bahrain,0.003031566666666666,whisper_price
2023-09-13,Belgium,0.2413497666666667,whisper_price
2023-09-13,Belize,0.0017577833333333335,whisper_price
2023-09-13,Benin,0.13825808333333334,whisper_price
2023-09-13,Bolivia,2.1346835089994336,whisper_price
2023-09-13,Bonaire,0.006685566666666667,whisper_price
2023-09-13,Brazil,9.62084216662415,whisper_price
2023-09-13,Bulgaria,0.031554266666666664,whisper_price
2023-09-13,Burkina Faso,0.19277555294784582,whisper_price
2023-09-13,Cameroon,0.006909350000000001,whisper_price
2023-09-13,Canada,0.10970986666666668,whisper_price
2023-09-13,Cayman Islands,0.00110735,whisper_price
2023-09-13,Chile,34.64968141710602,whisper_price
2023-09-13,China,0.08491140000000001,whisper_price
2023-09-13,Colombia,30.12100469173923,whisper_price
2023-09-13,Congo,0.14454189841269843,whisper_price
2023-09-13,Costa Rica,2.2559549193877553,whisper_price
2023-09-13,Cuba,0.2948291144982993,whisper_price
2023-09-13,Curaçao,0.0051727000000000006,whisper_price
2023-09-13,Czechia,0.013965350000000001,whisper_price
2023-09-13,Côte d'Ivoire,0.04993080000000001,whisper_price
2023-09-13,Denmark,0.07622041666666667,whisper_price
2023-09-13,Dominican Republic,1.5905158690476189,whisper_price
2023-09-13,Ecuador,6.11335967281746,whisper_price
2023-09-13,Egypt,0.5783168617913833,whisper_price
2023-09-13,El Salvador,0.8806847633786848,whisper_price
2023-09-13,Eritrea,0.017474133333333332,whisper_price
2023-09-13,Error: ,6.212748331278346,whisper_price
2023-09-13,Error: 'NoneType' object has no attribute 'name',0.02237405,whisper_price
2023-09-13,Error: (0) Could not interpret numbers after plus-sign.,0.6171331028344671,whisper_price
2023-09-13,Falkland Islands (Malvinas),0.007346154166666667,whisper_price
2023-09-13,Finland,0.0010557833333333334,whisper_price
2023-09-13,France,0.25328616666666665,whisper_price
2023-09-13,French Polynesia,0.02683075,whisper_price
2023-09-13,Gabon,0.05301764444444445,whisper_price
2023-09-13,Georgia,0.0104427,whisper_price
2023-09-13,Germany,0.36179665,whisper_price
2023-09-13,Ghana,0.1226776074829932,whisper_price
2023-09-13,Gibraltar,0.0010757833333333335,whisper_price
2023-09-13,Greece,0.02347983333333333,whisper_price
2023-09-13,Guadeloupe,0.010187350000000001,whisper_price
2023-09-13,Guam,0.005412916666666667,whisper_price
2023-09-13,Guatemala,0.5518020166666667,whisper_price
2023-09-13,Guyana,0.00567095,whisper_price
2023-09-13,Haiti,0.009509783333333334,whisper_price
2023-09-13,Honduras,0.6121776289115647,whisper_price
2023-09-13,Hong Kong,0.009837350000000002,whisper_price
2023-09-13,Hungary,0.08335961666666668,whisper_price
2023-09-13,India,0.26734968582766444,whisper_price
2023-09-13,Indonesia,1.1199091833333332,whisper_price
2023-09-13,Iran,0.18178166666666667,whisper_price
2023-09-13,Ireland,0.07800826666666667,whisper_price
2023-09-13,Israel,0.938469351473923,whisper_price
2023-09-13,Italy,0.7997185166666667,whisper_price
2023-09-13,Jamaica,0.0461885,whisper_price
2023-09-13,Japan,0.24131216122448979,whisper_price
2023-09-13,Kazakhstan,0.009130266666666666,whisper_price
2023-09-13,Korea,0.14344741485260773,whisper_price
2023-09-13,Kuwait,0.011011350000000001,whisper_price
2023-09-13,Lao People's Democratic Republic,0.0036527,whisper_price
2023-09-13,Lebanon,0.016618966666666665,whisper_price
2023-09-13,Libya,0.0026757833333333333,whisper_price
2023-09-13,Liechtenstein,0.0129947,whisper_price
2023-09-13,Lithuania,0.013926133333333335,whisper_price
2023-09-13,Luxembourg,0.01571005,whisper_price
2023-09-13,Madagascar,0.026357350000000005,whisper_price
2023-09-13,Malaysia,0.15907113820861682,whisper_price
2023-09-13,Mali,0.003065566666666667,whisper_price
2023-09-13,Malta,0.005508699999999999,whisper_price
2023-09-13,Mexico,12.527972432979025,whisper_price
2023-09-13,Moldova,0.00270335,whisper_price
2023-09-13,Montenegro,0.0258281,whisper_price
2023-09-13,Morocco,1.3267893630385488,whisper_price
2023-09-13,Mozambique,0.06985386360544218,whisper_price
2023-09-13,Myanmar,0.05070945,whisper_price
2023-09-13,Netherlands,0.10834868333333335,whisper_price
2023-09-13,New Zealand,0.29152645000000005,whisper_price
2023-09-13,Nicaragua,0.2786642458333333,whisper_price
2023-09-13,Niger,0.6455283166666668,whisper_price
2023-09-13,Nigeria,0.012687758163265304,whisper_price
2023-09-13,Norfolk Island,0.0021214000000000003,whisper_price
2023-09-13,Northern Mariana Islands,0.0530267,whisper_price
2023-09-13,Norway,0.03292605,whisper_price
2023-09-13,Oman,0.027018800000000003,whisper_price
2023-09-13,Pakistan,0.24813020868764174,whisper_price
2023-09-13,Palestine,0.013512399999999999,whisper_price
2023-09-13,Panama,1.4859303333333334,whisper_price
2023-09-13,Papua New Guinea,0.004969566666666667,whisper_price
2023-09-13,Paraguay,10.734908631221654,whisper_price
2023-09-13,Peru,7.123296422831633,whisper_price
2023-09-13,Philippines,0.29620928696145127,whisper_price
2023-09-13,Poland,0.04416453333333334,whisper_price
2023-09-13,Portugal,0.3690957876984127,whisper_price
2023-09-13,Puerto Rico,0.025361883333333335,whisper_price
2023-09-13,Qatar,0.0025507000000000004,whisper_price
2023-09-13,Romania,0.1720306680272109,whisper_price
2023-09-13,Russian Federation,0.48949101547619045,whisper_price
2023-09-13,Saint Vincent and the Grenadines,0.0014497833333333332,whisper_price
2023-09-13,San Marino,0.0030737833333333337,whisper_price
2023-09-13,Saudi Arabia,0.007568366666666667,whisper_price
2023-09-13,Senegal,0.03552966666666667,whisper_price
2023-09-13,Serbia,0.0015357833333333334,whisper_price
2023-09-13,Singapore,0.2899546397959184,whisper_price
2023-09-13,South Africa,0.36664773333333334,whisper_price
2023-09-13,South Sudan,0.03034177074829932,whisper_price
2023-09-13,Spain,26.537500835359975,whisper_price
2023-09-13,Sri Lanka,0.031086749999999993,whisper_price
2023-09-13,Suriname,0.022560916666666667,whisper_price
2023-09-13,Sweden,0.07449361666666668,whisper_price
2023-09-13,Switzerland,0.29876013333333334,whisper_price
2023-09-13,Thailand,0.014002266666666669,whisper_price
2023-09-13,Togo,0.07118600416666666,whisper_price
2023-09-13,Trinidad and Tobago,0.07128263333333333,whisper_price
2023-09-13,Tunisia,0.02701356666666667,whisper_price
2023-09-13,Turkey,0.0062933500000000005,whisper_price
2023-09-13,Turks and Caicos Islands,0.0109727,whisper_price
2023-09-13,Uganda,0.00149335,whisper_price
2023-09-13,United Arab Emirates,0.055824033333333335,whisper_price
2023-09-13,United Kingdom,0.7411384156462586,whisper_price
2023-09-13,United States,4.014942124036281,whisper_price
2023-09-13,Uruguay,19.506852687329935,whisper_price
2023-09-13,Venezuela,14.80288833895975,whisper_price
2023-09-13,Viet Nam,0.0405245,whisper_price
2023-09-13,Yemen,0.02598631666666666,whisper_price
2023-09-14,Afghanistan,0.08890125691609978,whisper_price
2023-09-14,Algeria,0.005819133333333335,whisper_price
2023-09-14,Andorra,0.018117400000000002,whisper_price
2023-09-14,Angola,0.10533936519274376,whisper_price
2023-09-14,Antigua and Barbuda,0.010927783333333333,whisper_price
2023-09-14,Argentina,176.5019456674864,whisper_price
2023-09-14,Aruba,0.0046947000000000004,whisper_price
2023-09-14,Australia,0.26395979999999997,whisper_price
